Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,
The Mental Health Benefits of Purposeful Activities in Public Green Spaces in Urban and Semi-Urban Neighbourhoods: A Mixed-Methods Pilot and Proof of Concept Study,"Coventry, PA; Neale, C; Dyke, A; Pateman, R; Cinderby, S","Access and exposure to public green space might be critical to health promotion and prevention of mental ill health. However, it is uncertain if differential health and mental health benefits are associated with undertaking different activities in public green space. We evaluated the health and wellbeing benefits of different activities in different locations of public green spaces in urban and semi-urban areas. We used a mixed-methods before-and-after design. Volunteers at three conservation sites were recruited and took part in group guided walks, practical conservation tasks or citizen science. Repeated measures one-way ANOVAs with Bonferroni correction assessed the relationship between location and activity type on change in acute subjective mood from pre- to post-activity, measured with the UWIST Mood Adjective Checklist (UWIST-MACL). Qualitative semi-structured interviews were undertaken and analysed thematically to explore participants' perceptions about the health and wellbeing benefits of activities in public green space. Forty-five participants were recruited, leading to 65 independent observations. Walking, conservation and citizen science in public green space were associated with improved mood. Across all participants acute subjective mood improved across all domains of the UWIST-MACL. There was a significant association between reduction in stress and location (p = 0.009). Qualitatively participants reported that conservation and citizen science conferred co-benefits to the environment and individual health and well-being and were perceived as purposeful. Undertaking purposeful activity in public green space has the potential to promote health and prevent mental ill health.",2019,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,16,15,,WOS:000482128400081,10.3390/ijerph16152712,,#100,Coventry 2019,
"Deciphering the Link Between Mental Health and Green Space in Shenzhen, China: The Mediating Impact of Residents' Satisfaction","Qiao, YH; Chen, ZN; Chen, YQ; Zheng, TX","Rapid urbanization and increasing urban density in China threaten residents' mental health. As a vital component of built environments, green space plays a key role in individuals' psychological well-being; however, the mediating effect of residents' satisfaction with the green space environment on the relationship between urban greening and residents' mental health in Chinese contexts has yet to be thoroughly explored. To fill this knowledge gap, this paper attempts to reveal the internal logic and mechanism underlying the linkages between green space, residents' mental health, and their satisfaction with green space in Shenzhen, China. Specifically, this paper explores the mediating role of residents' satisfaction with a green space environment using questionnaire survey data, ""Quick Bird-2"" high-resolution remote sensing image data, and a multilevel regression model. Our empirical findings indicate that the relative range of neighboring green spaces can directly improve residents' mental health. More importantly, the relationship between the relative scope of green space and residents' mental health is mediated by residents' satisfaction with the green space environment rather than its direct health effects. Given the influence of green space on residents' satisfaction with the environment, green space indirectly affects mental health. These findings should provide the government useful guidance for considering the spatial distribution and quantity of green space. Our results should also help residents improve their actual experiences and subjective satisfaction with the green space environment.",2021,,FRONTIERS IN PUBLIC HEALTH,9,,,WOS:000620994800001,10.3389/fpubh.2021.561809,,#102,Qiao 2021,
Relative 'greenness' and not availability of public open space buffers stressful life events and longitudinal trajectories of psychological distress,"Hoj, SB; Paquet, C; Caron, J; Daniel, M","Despite evidence of associations between urban green space exposure and mental health, explanatory mecha-nisms and the role of green space qualities remain unclear. This prospective cohort study (n = 929) examined the distinct relationships of residential public open space (POS) availability and ?greenness? with four-year trajec-tories of psychological distress in Montreal, Canada. Stress-buffering and main effect mechanisms were tested under the respective hypotheses that POS exposures 1) attenuate the impact of stressful events on psychological distress and 2) protect against psychological distress independently of exposure to stressful events. Results from growth mixture models indicate that residing among ?greener? POS protects against rising distress through both mechanisms. Conversely, POS availability was not associated with trajectories of distress when holding greenness constant. Findings reinforce the need to consider the quality as well as quantity of public open space in urban environments.",2021,,HEALTH & PLACE,68,,,WOS:000632268200010,10.1016/j.healthplace.2020.102501,,#104,Hoj 2021,
Multiple pathways link urban green- and bluespace to mental health in young adults,"Dzhambov, AM; Markevych, I; Hartig, T; Tilov, B; Arabadzhiev, Z; Stoyanov, D; Gatseva, P; Dimitrova, DD","Background: A growing body of scientific literature indicates that urban green- and bluespace support mental health; however, little research has attempted to address the complexities in likely interrelations among the pathways through which benefits plausibly are realized.Objectives: The present study examines how different plausible pathways between green/bluespace and mental health can work together. Both objective and perceived measures of green- and bluespace are used in these models.Methods: We sampled 720 students from the city of Plovdiv, Bulgaria. Residential greenspace was measured in terms of the Normalized Difference Vegetation Index (NDVI), tree cover density, percentage of green areas, and Euclidean distance to the nearest green space. Bluespace was measured in terms of its presence in the neighborhood and the Euclidean distance to the nearest bluespace. Mental health was measured with the 12-item form of the General Health Questionnaire (GHQ-12). The following mediators were considered: perceived neighborhood green/bluespace, restorative quality of the neighborhood, social cohesion, physical activity, noise and air pollution, and environmental annoyance. Structural equation modelling techniques were used to analyze the data.Results: Higher NDVI within a 300 m buffer around the residence was associated with better mental health through higher perceived greenspace; through higher perceived greenspace, leading to increased restorative quality, and subsequently to increased physical activity (i.e., serial mediation); through lower noise exposure, which in turn was associated with lower annoyance; and through higher perceived greenspace, which was associated with lower annoyance. Presence of bluespace within a 300 m buffer did not have a straightforward association with mental health owing to competitive indirect paths: one supporting mental health through higher perceived bluespace, restorative quality, and physical activity; and another engendering mental ill-health through higher noise exposure and annoyance.Conclusions: We found evidence that having more greenspace near the residence supported mental health through several indirect pathways with serial components. Conversely, bluespace was not clearly associated with mental health.",2018,,ENVIRONMENTAL RESEARCH,166,,223-233,WOS:000445318200025,10.1016/j.envres.2018.06.004,,#107,Dzhambov 2018,
Exposure to urban green space may both promote and harm mental health in socially vulnerable neighborhoods: A neighborhood-scale analysis in New York City,"Yoo, EH; Roberts, JE; Eum, Y; Li, XJ; Konty, K","Background: There is growing evidence that exposure to green space can impact mental health, but these effects may be context dependent. We hypothesized that associations between residential green space and mental health can be modified by social vulnerability. Method: We conducted an ecological cross-sectional analysis to evaluate the effects of green space exposure on mental disorder related emergency room (ER) visits in New York City at the level of census tract. To objectively represent green space exposure at the neighborhood scale, we calculated three green space exposure metrics, namely proximity to the nearest park, percentage of green space, and visibility of greenness. Using Bayesian hierarchical spatial Poisson regression models, we evaluated neighborhood social vulnerability as a potential modifier of greenness-mental disorder associations, while accounting for the spatially correlated structures. Results: We found significant associations between green space exposure (involving both proximity and visibility) and total ER visits for mental disorders in neighborhoods with high social vulnerability, but no significant associations in neighborhoods with low social vulnerability. We also identified specific neighborhoods with particularly high ER utilization for mental disorders. Conclusions: Our findings suggest that exposure to green space is associated with ER visits for mental disorders, but that neighborhood social vulnerability can modify this association. Future research is needed to confirm our finding with longitudinal designs at the level of individuals.",2022,,ENVIRONMENTAL RESEARCH,204,,,WOS:000730784100009,10.1016/j.envres.2021.112292,,#110,Yoo 2022,
The association between green space and mental health varies across the lifecourse. A longitudinal study,"Astell-Burt, T; Mitchell, R; Hartig, T","Background Epidemiological studies on green space and health have relied almost exclusively on cross-sectional designs, restricting understanding on how this relationship could vary across the lifecourse.Methods We used multilevel linear regression to analyse variation in minor psychiatric morbidity over nine annual waves of the British Household Panel Survey (1996-2004). The sample was restricted to residents of urban areas who remained within their neighbourhoods for at least 12 months. The 12-item General Health Questionnaire and confounders were reported for 29 626 male and 35 781 female observations (person-years). This individual-level dataset was linked to a measure of green space availability within each ward of residence. Regression models included age, gender, employment status, household tenure, marital status, education, smoking status and household income.Results When not considering age, green space was associated with better mental health among men, but not women. Interaction terms fitted between age and green space revealed variation in the association between green space and mental health across the lifecourse and by gender. For men, the benefit of more green space emerged in early to mid-adulthood. Among older women, a curvilinear association materialised wherein those with a moderate availability of green space had better mental health.Conclusions These findings illustrate how the relationship between urban green space and health can vary across the lifecourse, and they highlight the need for longitudinal studies to answer why green space may be better for health at some points in the lifecourse than others.",2014,,JOURNAL OF EPIDEMIOLOGY AND COMMUNITY HEALTH,68,6,578-583,WOS:000335362000015,10.1136/jech-2013-203767,,#121,Astell-Burt 2014,
International Chinese Students in the UK: Association between Use of Green Spaces and Lower Stress Levels,"Zhao, S; Patuano, A","The health benefits of urban green spaces have been found to vary for different populations, such as people of different socio-demographics or different cultures. Among these populations, one remains understudied although its numbers are growing: Chinese international students. Indeed, more and more Chinese students choose to go abroad for higher education but face specific challenges, often resulting in them experiencing high levels of stress and poor health. This study explores the link between Chinese international students' use of local green spaces and the effect on their perceived stress and health. An online survey was created to collect data from 186 Chinese international students studying in Edinburgh, Scotland (UK). The data covered the participants' reported health status and their perceived stress levels, the strategies they use when coping with stress, their awareness of the benefits of visiting green spaces as well as their self-reported use of and access to local green spaces. The findings show a significant correlation between access to and use of urban green spaces and the self-reported wellbeing indicators. Some of the barriers experienced by participants in visiting green spaces were also explored. By investigating the specific behaviors of this emerging and vulnerable population, this study expands the corpus of existing evidence for the role played by urban green spaces in supporting wellbeing. Some recommendations to support the health of this community using urban green spaces can therefore be proposed.",2022,,SUSTAINABILITY,14,1,,WOS:000742970500001,10.3390/su14010089,,#124,Zhao 2022,
The evaluation of the 3-30-300 green space rule and mental health,"Nieuwenhuijsen, MJ; Dadvand, P; Marquez, S; Bartoll, X; Barboza, EP; Cirach, M; Borrell, C; Zijlema, WL","Background and aims: Urban green space has many health benefits, but it is still unclear how much actually is needed for better health. Recently a new 3-30-300 rule of thumb for urban forestry and urban greening has been proposed, but this rule has not been evaluated for benefits on health. The rule requires that every citizen should be able to see at least three trees from their home, have 30 percent tree canopy cover in their neighbourhood and not live more than 300 m away from the nearest park or green space. The aim of this study was to evaluate the relationship between the 3-30-300 green space rule and its components in relation to mental health.Methods: We conducted a cross-sectional study based on a population-based sample of 3145 individuals aged 15-97 years from in Barcelona, Spain who participated in the Barcelona Health Survey (2016-2017). We created 3-30-300 green space indicators using questionnaire data, GIS, remote sensing and land cover maps. Mental health status was assessed with the 12-item General Health Questionnaire (GHQ-12) and also the use of tran-quilizer/sedatives or antidepressants and psychiatrist or psychologist visits. Analyses were conducted using mixed effects logistic regression models with districts as the random effect, adjusted for relevant covariates.Results: We found that people in Barcelona had relatively little exposure to green space, whether through window view, living in an area with sufficient greenness, or access to a major green space, and only 4.7% met a surrogate 3-30-300 green space rule. Residential surrounding greenness, but not tree window view or access to major green space, was significantly associated with better mental health, less medication use, and fewer psychologist or psychiatrist visits. Meeting the full surrogate 3-30-300 green space rule was associated with better mental health, less medication use, and fewer psychologist or psychiatrist visits, but only for the latter combined the association was statistically significant (Odds ratio = 0.31, 95% CI: 0.11, 0.91).Conclusion: Few people achieved the 3-30-300 green space in Barcelona and we used a surrogate measure. We observed health benefits when the full surrogate rule was met.",2022,,ENVIRONMENTAL RESEARCH,215,,,WOS:000884399700009,10.1016/j.envres.2022.114387,,#130,Nieuwenhuijsen 2022,
Green space and suicide mortality in Japan: An ecological study,"Jiang, WH; Stickley, A; Ueda, M","Although numerous studies have investigated the effect of green space on mental health, as yet, little is known about the association between green space and suicide. To address this deficit, we conducted the first Japan-wide study of the relationship between green space and suicide mortality. Results from spatial analyses of municipality-level panel data for the 1975-2014 period that included 886,440 suicide deaths with a fixed-effect estimator showed that green space was associated with suicide mortality, and that this relationship was conditioned by the form of greenness, level of urbanity and demographic characteristics. In densely populated cities, park density (parks per 1000 of the population) was associated with reduced suicide mortality among females aged 18 and above and among males aged 18 to 39 and aged 65 and above. In small- and medium-sized cities, park coverage (% by area) was linked to fewer suicide deaths among middle-aged and older females (aged 40 and above). In contrast, in non-cities (rural areas), parks were not associated with suicide mortality whereas woodland coverage (% by area) was linked to reduced suicide deaths among middle-aged and older males (aged 40 and above). Our findings suggest that urban green space and rural forest coverage may have a protective effect against self-harming behavior. Future suicide prevention efforts should consider an increased greening of the residential environment in terms of both availability and accessibility, especially with better designs that accommodate population needs and local conditions.",2021,,SOCIAL SCIENCE & MEDICINE,282,,,WOS:000679176400005,10.1016/j.socscimed.2021.114137,,#135,Jiang 2021,
Can Exposure to Certain Urban Green Spaces Trigger Frontal Alpha Asymmetry in the Brain?-Preliminary Findings from a Passive Task EEG Study,"Olszewska-Guizzo, A; Sia, A; Fogel, A; Ho, R","A growing body of evidence from observational and experimental studies shows the associations between exposure to urban green spaces (UGSs) and mental health outcomes. Little is known about which specific features of UGS that might be the most beneficial. In addition, there is potential in utilizing objective physiological markers of mental health, such as assessing brain activity, but the subject requires further investigation. This paper presents the preliminary findings from an on-going within-subject experiment where adult participants (n = 22; 13 females) were passively exposed to six landscape scenes within two UGSs (a park and a neighborhood green space) and three scenes of a busy urban downtown (control site). The landscape scenes were pre-selected based on their contemplative landscape score (CLS) to represent different levels of aggregation of contemplative features within each view. Participants went to each of the sites in a random order to passively view the scenes, while their electroencephalography (EEG) signal was being recorded concurrently. Frontal alpha asymmetry (FAA) values, commonly associated with the approach-related motivation and positive emotions, were extracted. The preliminary results show trends for the main effect of site on FAA, suggestive of stronger FAA in park compared to the control site, akin to more positive mood. There was also a trend for the interaction between the site and scene, which suggests that even within the individual sites, there is variability depending on the specific scene. Adjusting for environmental covariate strengthened these effects, these interim findings are promising in supporting the study hypothesis and suggest that exposure to urban green spaces may be linked to mental health outcomes.",2020,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,17,2,,WOS:000516827400015,10.3390/ijerph17020394,,#143,Olszewska-Guizzo 2020,
The Effects of Urban Green Space on Depressive Symptoms of Mid-Aged and Elderly Urban Residents in China: Evidence from the China Health and Retirement Longitudinal Study,"Zhou, R; Zheng, YJ; Yun, JY; Wang, HM","The aim of this study is to assess the impacts of urban green space on depressive symptoms among Chinese urban residents aged 45 and older. In total, 7397 urban respondents were included in this study. Each respondent participated in the China Health and Retirement Longitudinal Study Wave 3 (2015). Environmental-level variables were retrieved from the National Bureau of Statistics database. Both unadjusted and adjusted methods were used in the multilevel regression analysis. Almost one-third of the sample population suffered from depressive symptoms (31.20%). The multilevel logistic regression model showed that green coverage ratio of city-built districts is negatively associated with the prevalence of depressive symptoms among urban mid-aged (OR = 0.79, p < 0.05) and elderly (OR = 0.75, p < 0.05) residents, and the public recreational green space helps to reduce elderly people's depressive symptoms (OR = 0.77, p < 0.05). This study adds insights about the impact of green space and other environmental factors on depressive symptoms among mid-aged and elderly urban dwellers. It is important to provide enough and accessible overall urban green spaces; additionally, attention should also be paid to specific green space forms such as public recreational green space.",2022,,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,19,2,,WOS:000747248400001,10.3390/ijerph19020717,,#145,Zhou 2022,
Physiological and Psychological Health Benefits of Urban Green Space in Kuala Lumpur: A comparison between Taman Botani Perdana and Jalan Bukit Bintang,"Mokhtar, D; Aziz, NAA; Mariapan, M","This study explores physiological and psychological effects of urban green space by using measurements and self-reported psychological responses to an urban park compared to a city environment. Participants of this study were 20 homogenous male students. Taman Botani Perdana, an urban park in Kuala Lumpur, and Jalan Bukit Bintang, a commercial district in the city centre were chosen as the study areas for this study. On the first day, the participants went to Taman Botani Perdana, and to Jalan Bukit Bintang on the second day. In both areas, the participants were instructed to walk along a given route for 20 minutes. Saliva samples were collected before and after walking in both areas along with blood pressure measurements. Self-reported physiological responses were measured before and after each walking session. Results indicated that salivary cortisol concentration significantly increased in the city, whereas no significant change was found in the urban park. Diastolic blood pressure significantly reduced after walking in the urban park. In terms of psychological responses, Total Mood Disturbance among the participants were significantly lower when they were in the urban park compared to the city. Meanwhile, the Positive and Negative Affect Schedule (PANAS) showed that positive effect significantly increased after walking in the urban park, whereas the participants' positive effects significantly reduced after walking in the city. These results indicate that urban green space has positive benefits physiologically and psychologically compared to urban environment.",2018,,PERTANIKA JOURNAL OF SOCIAL SCIENCE AND HUMANITIES,26,3,2101-2114,WOS:000456097200051,,,#151,Mokhtar 2018,
Assessing and Modelling the role of urban green spaces for human well-being in Lahore (Pakistan),"Jabbar, M; Yusoff, MM","Green structure is one of the major pillars of an urban structure, which accelerates life events by promoting physical activities, mental, and psychological relaxation, providing oxygen for breathing and purifying air pollutants. However, a rapid urban expansion is shrinking urban greenness within and surrounding the cities violating environmental guidelines. Therefore, being a rapidly growing and densely populated city, Lahore attracted the study to assess the role of urban green spaces for human well-being. A questionnaire-based survey was conducted and statistical regression analyses were performed to investigate the role of UGSs for human well-being. Finally, a structural equation model was developed, in which the role of UGSs for human well-being was found to be highly significant (beta = 0.904, R-2 = 0.817) at P < 0.00. Therefore, the study concluded that urban green spaces are a key to well-being in Lahore, which needs to protect admitting their significance to the residents.",,,GEOCARTO INTERNATIONAL,,,,WOS:000815389600001,10.1080/10106049.2022.2087757,,#163,,
Urban street tree biodiversity and antidepressant prescriptions,"Marselle, MR; Bowler, DE; Watzema, J; Eichenberg, D; Kirsten, T; Bonn, A","Growing urbanisation is a threat to both mental health and biodiversity. Street trees are an important biodiversity component of urban greenspace, but little is known about their effects on mental health. Here, we analysed the association of street tree density and species richness with antidepressant prescribing for 9751 inhabitants of Leipzig, Germany. We examined spatial scale effects of street trees at different distances around participant's homes, using Euclidean buffers of 100, 300, 500, and 1000 m. Employing generalised additive models, we found a lower rate of antidepressant prescriptions for people living within 100 m of higher density of street trees-although this relationship was marginally significant (p=0.057) when confounding factors were considered. Density of street trees at further spatial distances, and species richness of street trees at any distance, were not associated with antidepressant prescriptions. However, for individuals with low socio-economic status, high density of street trees at 100 m around the home significantly reduced the probability of being prescribed antidepressants. The study suggests that unintentional daily contact to nature through street trees close to the home may reduce the risk of depression, especially for individuals in deprived groups. This has important implications for urban planning and nature-based health interventions in cities.",2020,,SCIENTIFIC REPORTS,10,1,,WOS:000605618400016,10.1038/s41598-020-79924-5,,#170,Marselle 2020,
Addressing psychosocial issues caused by the COVID-19 lockdown: Can urban greeneries help?,"Rajoo, KS; Karam, DS; Abdu, A; Rosli, Z; Gerusu, GJ","The Coronavirus disease-2019 (COVID-19) pandemic has affected over 200 countries, forcing governments to impose lockdowns to contain the spread of the disease. Although effective in reducing infection rates, the lockdowns have also resulted in a severe negative impact on mental health throughout the world; Setting the foundation for mental illnesses to become the next ""silent"" pandemic. This study attempts to determine a selfcare method of ensuring mental health during the COVID-19 pandemic, especially for those living under lockdown. We evaluated the potential of physical exercise (in a nature setting) and nature therapy in improving mental wellbeing, among young adults with either stress, anxiety or depression symptoms. The study involved thirty subjects, who were equally divided into a nature-exercise group and a nature therapy group. The participants were briefed on the activities that they were to perform on a daily basis, and both groups performed their assigned activities concurrently for one week (27th April 2020 to 3rd May 2020) at urban greeneries accessible to them (rooftop parks, neighbourhood parks, home gardens). We used the depression, anxiety and stress scale - 21 items (DASS-21) to evaluate the mental health status of participants, once before beginning the study (baseline readings) and once at the end of the study (after a week of nature-exercise/nature therapy). There was a statistically significant reduction in stress, anxiety and depression symptoms for both the nature-exercise and nature therapy groups. However, when evaluating the effectiveness of exercise and nature therapy in treating stress, anxiety and depression symptoms on a case-by-case basis, it was discovered that nature therapy was more effective in treating mental health issues. Hence, nature therapy has the potential to be a form of preventive medicine, namely in preserving mental health during the COVID-19 crisis.",2021,,URBAN FORESTRY & URBAN GREENING,65,,,WOS:000701984700002,10.1016/j.ufug.2021.127340,,#171,Rajoo 2021,
"Residential green space, gardening, and subjective well-being: A cross-sectional study of garden owners in northern Belgium","Krols, J; Aerts, R; Vanlessen, N; Dewaelheyns, V; Dujardin, S; Somers, B","Urban green spaces and the biodiversity therein have been associated with human health and well-being benefits, but the contribution of domestic gardens to those benefits is insufficiently known.Using data from a cross-sectional sample (n = 587) of domestic garden owners in Flanders and Brussels (northern Belgium), associations between residential green space quality in and around domestic gardens, green space related activities and socioeconomic background variables of the gardeners, and self-reported health (stress and depression) were investigated with structural equation models.Socioeconomic security was associated with lower stress and depression. Nature relatedness and green space in the neighbourhood of the house were associated with higher exposure to green space, which was in turn negatively associated with stress and depression. Garden quality, indicated by biodiversity values and size, and nature relatedness were associated with being active in the garden, which was in turn associated with lower values of depression, but not stress.Nature relatedness seems to play a key role in the pathway linking gardens to improved health. Improving biodiversity and ecosystems services in gardens may increase exposure to green space and help to restore and enhance nature relatedness. This, in turn, could potentially improve human health and well-being, and contribute to the conservation of biodiversity in urban environments.",2022,,LANDSCAPE AND URBAN PLANNING,223,,,WOS:000821786600006,10.1016/j.landurbplan.2022.104414,,#185,Krols 2022,
The mental health benefits of visiting canals and rivers: An ecological momentary assessment study,"Bergou, N; Hammoud, R; Smythe, M; Gibbons, J; Davidson, N; Tognin, S; Reeves, G; Shepherd, J; Mechelli, A","Existing evidence shows positive effects of being in nature on wellbeing, but we know little about the mental health benefits of spending time near canals and rivers specifically. This study investigates the association between visits to canals and rivers and mental wellbeing. We addressed the following questions: Are visits to canals and rivers associated with higher levels of mental wellbeing? Does this association depend on age and gender? Does this association vary between people with and without a diagnosis on mental illness? We used Urban Mind, a flexible smartphone application for examining the impact of different aspects of the built and social environment on mental wellbeing, a strong predictor of mental health. Participants were invited to complete an ecological momentary assessment three times a day for fourteen days. Each assessment included questions about their surrounding environment and mental wellbeing. A total of 7,975 assessments were completed by 299 participants including 87 with a diagnosis of mental illness. Multilevel regression models were used to analyse the data. We found positive associations between visits to canals and rivers and mental wellbeing (p < .05) when compared to being anywhere else and when compared to being in green spaces. Increases in mental wellbeing were still evident after the visit had taken place. These effects remained significant after adjusting for age, gender, ethnicity and education, and were consistent in people with and without a diagnosis of mental illness. Spending time near canals and rivers is associated with better mental wellbeing. These findings have potential implications for mental health as well as urban planning and policy. Visits to canals and rivers could become part of social prescribing schemes, playing a role in preventing mental health difficulties and complementing more traditional interventions.",2022,,PLOS ONE,17,8,,WOS:000892368200012,10.1371/journal.pone.0271306,,#187,Bergou 2022,
Beyond Proximity: The Importance of Green Space Useability to Self-Reported Health,"Carter, M; Horwitz, P","Access to parks and green spaces within residential neighbourhoods has been shown to be an important pathway to generating better physical and mental health for individuals and communities. Early research in this area often failed to identify specific attributes that contributed to reported health outcomes, with more recent research focused on exploring relationships between health outcomes and aspects of access and design. A mixed methods research project conducted in Perth, Western Australia examined the role that neighbourhood green space played in influencing residents' self-reported health status, and this paper identifies significant relationships found between perceptions of green space quality and self-reported health. It focuses on the factors that were found to be most positively associated with better health outcomes: proximity, retention, useability and visitation of neighbourhood green space.",2014,,ECOHEALTH,11,3,322-332,WOS:000339720200013,10.1007/s10393-014-0952-9,,#191,Carter 2014,
Casual evaluation of the effects of a large-scale greenway intervention on physical and mental health: A natural experimental study in China,"Xie, B; Lu, Y; Zheng, YL","Many cross-sectional studies have supported the health benefits of urban greenways. However, the causal relationship between urban greenway intervention and residents' physical and mental health remains unclear. Furthermore, the potential dose-response effect by distance to a greenway intervention remains unknown. This study explored the impact of a large-scale urban greenway intervention (construction of a 102-km-long East Lake Greenway in Wuhan, China) on the health outcomes of residents by using a natural experimental research design. We collected data before and after the intervention (in 2016 and 2019, respectively) from 1,020 participants living within a 5-km street-network distance from the entrances of this greenway. The average age of the par-ticipants was approximately 50, and most of them were married. More than half of the participants were female, currently employed, and had received a college education or above. Mixed-effects difference-in-difference (DID) models were used while controlling for individual and neighbourhood covariates. The results showed that the East Lake Greenway had a positive effect on the self-reported mental health of residents who lived within 2 km, and these benefits decreased with distance. The physical health benefit was insignificant. To increase the health benefits of urban greenways, more effort should be made to improve the accessibility of greenways and the surrounding environment. We also advocate that future natural experiments should explore the distance-varying dose-response effect of green space interventions on health outcomes.",2022,,URBAN FORESTRY & URBAN GREENING,67,,,WOS:000789615400008,10.1016/j.ufug.2021.127419,,#198,Xie 2022,
Assessment of mediators in the associations between urban green spaces and self-reported health,"Zhang, LQ; Tan, PY; Gan, DRY; Samsudin, R","Although urban green spaces (UGS) are widely known to confer health benefits, evidence of the specific mechanisms that mediate the pathways from UGS provision and exposure to health outcomes remains limited. In particular, the question of whether exposure to UGS is an independent variable or a mediator in UGS-health linkages remains inadequately addressed. Using a nationally representative household survey in Singapore, this study investigated two models of the pathways linking UGS provision, UGS exposure, three mediators (emotional regulation, social interaction, and physical activities conducted in UGS) and self-reported mental and general health. The first model regarded both UGS provision and exposure as the independent variables and the second treated UGS exposure as the intermediate variable. Path analysis and structural equation modelling were employed to measure the theorised pathways. Good model fit for both models were found. Emotional regulation mediated 52% of the associations of perceived UGS provision and UGS exposure with mental health. Social interaction mediated 100% of the association of UGS with general health. However, green physical activities did not show any significant mediating effect. UGS exposure mediated only 11.5% of the pathways linking perceived UGS provision to other three mediators. Direct use of UGS is not a requisite for obtaining health benefits from UGS, as UGS provision independent of direct use is a significant variable. The use of UGS, however, provides undeniable benefits as UGS exposure was related to both health outcomes with full mediating effects. This study contributes to the understanding of underlying mechanisms in UGS-health associations.",2022,,LANDSCAPE AND URBAN PLANNING,226,,,WOS:000826304100003,10.1016/j.landurbplan.2022.104503,,#199,Zhang 2022,
Home gardens can be more important than other urban green infrastructure for mental well-being during COVID-19 pandemics,"Marques, P; Silva, AS; Quaresma, Y; Manna, LR; Neto, ND; Mazzoni, R","The current COVID-19 pandemics is a major threat to human populations. The disease has rapidly spread, causing mass hospitalization and the loss of millions of people mainly in urban areas which are hubs for contagion. At the same time, the social distancing practices required for containing the outbreak have caused an eruption of mental illnesses that include symptoms of depression, anxiety and stress. The severity of such mental distress is modulated by the context of media coverage and the information and guidelines from local health authorities. Different urban green infrastructures, such as gardens, parks, and green views can be important for mitigating mental distress during the pandemics. However, it is unclear whether some urban green infrastructures are more efficient than others in reducing mental distress or whether their effectiveness changes with the context. Here we assess the relative importance of different urban green infrastructures on the mental distress of residents of Rio de Janeiro, Brazil. We show that although urban parks and green views are important, home gardens are the most efficient in mitigating mental distress. This is likely related to the practice of selfisolation seen for the residents of Rio de Janeiro. Information on the efficiency of different urban green infrastructures in mitigating mental distress can be important to help guide programs to inform the public about the best practices for maintaining mental health during the current outbreak. This can also help planning cities that are more resilient to future pandemics.",2021,,URBAN FORESTRY & URBAN GREENING,64,,,WOS:000692555400009,10.1016/j.ufug.2021.127268,,#201,Marques 2021,
The influence of outdoor play spaces in urban parks on children's social anxiety,"Bao, Y; Gao, M; Luo, D; Zhou, XD","Urban green spaces are critical to the healthy development of children's social interactions and activities. However, the relationship between urban green spaces for children's activities and the alleviation of children's social anxiety remains unclear. In this study, we aimed to explore the link between spatial characteristics and social anxiety in children. To explore the coupling relationships among green space, play space, and social anxiety, an assessment of children's play spaces and levels of social anxiety was performed using self-reported data, OpenStreetMap captured the characteristic indicators of urban parks, and the ArcGIS and SPSS softwares were used for the mathematical analysis. The results showed that (1) both the NDVI and 10-min accessibility were significantly negatively related to children's social anxiety; (2) the diversity of service facilities, surfacing materials, and the attractiveness and challenge of the environment were negatively related to children's social anxiety; (3) there were significant differences between activity types and social anxiety. These results provide design references and a theoretical basis for improving the benefits of urban green space on children's health and wellbeing.",2022,,FRONTIERS IN PUBLIC HEALTH,10,,,WOS:000899091500001,10.3389/fpubh.2022.1046399,,#202,Bao 2022,
AN EMPIRICAL STUDY ON THE IMPACT OF GREEN SPACES IN RESIDENTIAL AREAS ON THE MENTAL HEALTH OF RESIDENTS UNDER COVID-19,"Wang, ZP; Wang, W","As one of the frequently used green spaces of urban residents, residential green spaces have a positive effect on people's mental health status. In order to understand the impact of residential green spaces on citizens' mental health during the COVID-19 epidemic, this study collected the sociodemographic data of 556 residents from 15 residential communities in Hefei New Municipal and Culture District, Anhui Province, China in March, 2020 through online questionnaires, then adopted the Kessler Psychological Distress Scale (K10 Scale) to evaluate the residents' mental health status, and used GIMP Grid to quantify the green view index of residential green spaces outside the windows. Besides, a multiple linear regression model was used to explore the correlations between residential green spaces and residents' mental health status. The findings show that green coverage ratio, satisfaction of the landscapes of green space, green view index outside the window, and green viewing duration of the residential green spaces have positive effects on residents' mental health status. The study verifies the benefits of residential green spaces to promoting resident's mental health status under COVID-19, providing a scientific guidance for the future practice of urban construction.",2020,,LANDSCAPE ARCHITECTURE FRONTIERS,8,6,46-59,WOS:000703283800004,10.15302/J-LAF-0-020009,,#212,Wang 2020,
